month,RF_MAE,RF_SMAPE,Naive_MAE,Naive_SMAPE
2024-07,6.788143750000008,62.32608852158704,20.23625,124.07453832586852
2024-08,7.726693548387089,61.558219845453934,15.78,107.47570882066371
2024-09,6.235190000000026,48.12184931351563,21.709333333333337,105.7353861421098
2024-10,4.315837096774199,87.73205198741142,17.705806451612908,134.52892624377776
2024-11,4.090060833333308,52.64040065349661,22.146999999999995,118.46848026414408
2024-12,2.7930733870967788,67.9916923016789,14.879032258064516,118.06068720748164
2025-01,3.270402419354836,71.19247810908591,9.720967741935485,116.7432639214767
2025-02,2.2749026785714324,92.07972540869122,10.671785714285715,138.54592625635516
2025-03,2.890662096774197,75.60055105503096,17.46129032258065,137.35199445700547
2025-04,1.4385424999999898,75.29240776922327,9.871333333333334,94.03740335539193
2025-05,2.7099193548386973,80.8398703437725,16.24064516129032,118.01946986214959
2025-06,2.9784825000000024,65.15545868469707,9.792666666666667,100.3501422336504
2025-07,2.1294161290322644,55.8077548114769,17.715483870967745,127.4917068095623
2025-08,2.596707258064525,51.5409163758889,19.105806451612903,127.86661469484486
2025-09,2.879300000000011,38.96276554772225,24.171666666666663,116.5151104600654
2025-10,2.352721774193548,69.27728451955191,16.167741935483868,126.56219707910866
2025-11,1.59458125,112.18697654417207,7.371666666666667,127.49529774783257
